﻿Χρόνος Γένεσης (GMT),Γεωγρ.Πλάτος,Γεωγρ.Μήκος,Βάθος (χμ),Μέγεθος (ML),Επίκεντρο,Απόσταση (χμ) από το κέντρο (Γ.Πλ.:35.1571  Γ.Μήκ.:25.2483)
﻿2021/10/17 18:25:55,35.15,25.22,9,1.1,21.2 χμ ΝΝΑ του Ηρακλείου,2.3
﻿2021/10/17 18:09:16,35.21,25.33,7,1.1,21.9 χμ ΝΑ του Ηρακλείου,9.2
﻿2021/10/17 17:19:24,35.19,25.30,6,1.8,21.4 χμ ΝΑ του Ηρακλείου,5.9
﻿2021/10/17 15:09:04,35.12,25.19,6,1.3,24.0 χμ ΝΝΑ του Ηρακλείου,6.8
﻿2021/10/17 14:15:48,35.19,25.30,6,1.6,21.0 χμ ΝΑ του Ηρακλείου,6.1
﻿2021/10/17 11:41:31,35.15,25.19,6,2.1,19.9 χμ ΝΝΑ του Ηρακλείου,5.4
﻿2021/10/17 11:07:31,35.13,25.24,7,2.1,23.5 χμ ΝΝΑ του Ηρακλείου,2.8
﻿2021/10/17 11:05:15,35.19,25.32,5,1.9,22.5 χμ ΝΑ του Ηρακλείου,7.4
﻿2021/10/17 10:55:15,35.19,25.32,6,2.3,22.8 χμ ΝΑ του Ηρακλείου,7.2
﻿2021/10/17 09:48:09,35.14,25.25,8,2.1,23.4 χμ ΝΝΑ του Ηρακλείου,2.3
﻿2021/10/17 09:05:24,35.15,25.23,11,1.6,21.7 χμ ΝΝΑ του Ηρακλείου,1.8
﻿2021/10/17 08:48:31,35.14,25.24,9,1.9,22.2 χμ ΝΝΑ του Ηρακλείου,1.7
﻿2021/10/17 07:19:54,35.19,25.30,6,1.5,21.0 χμ ΝΑ του Ηρακλείου,5.8
﻿2021/10/17 06:29:09,35.19,25.32,9,1.4,22.5 χμ ΝΑ του Ηρακλείου,7.6
﻿2021/10/17 06:13:47,35.15,25.25,10,1.6,22.4 χμ ΝΝΑ του Ηρακλείου,0.8
﻿2021/10/17 05:46:45,35.20,25.31,5,2.1,21.1 χμ ΝΑ του Ηρακλείου,7.6
﻿2021/10/17 03:40:37,35.15,25.21,8,2.5,20.5 χμ ΝΝΑ του Ηρακλείου,3.9
﻿2021/10/17 03:35:13,35.21,25.30,10,3.1,19.8 χμ ΝΑ του Ηρακλείου,7.5
﻿2021/10/17 02:58:31,35.14,25.23,9,1.8,22.2 χμ ΝΝΑ του Ηρακλείου,1.9
﻿2021/10/17 02:56:16,35.19,25.26,8,1.3,19.1 χμ ΝΑ του Ηρακλείου,3.5
﻿2021/10/17 01:59:41,35.21,25.31,5,2.1,20.8 χμ ΝΑ του Ηρακλείου,7.6
﻿2021/10/17 01:22:27,35.12,25.24,8,2.3,24.8 χμ ΝΝΑ του Ηρακλείου,4.1
﻿2021/10/17 01:03:24,35.19,25.29,5,2.2,21.3 χμ ΝΑ του Ηρακλείου,5.4
﻿2021/10/17 00:58:44,35.14,25.25,8,1.5,23.3 χμ ΝΝΑ του Ηρακλείου,1.8
﻿2021/10/17 00:44:21,35.17,25.31,5,2.6,23.9 χμ ΝΑ του Ηρακλείου,6.0
﻿2021/10/17 00:32:37,35.13,25.24,29,1.7,24.0 χμ ΝΝΑ του Ηρακλείου,3.4
﻿2021/10/16 23:44:23,35.20,25.26,9,1.2,18.1 χμ ΝΑ του Ηρακλείου,5.3
﻿2021/10/16 23:40:59,35.13,25.21,10,1.8,22.8 χμ ΝΝΑ του Ηρακλείου,4.8
﻿2021/10/16 23:03:01,35.13,25.20,9,1.0,22.5 χμ ΝΝΑ του Ηρακλείου,5.4
﻿2021/10/16 22:41:29,35.24,25.31,5,2.7,19.0 χμ ΑΝΑ του Ηρακλείου,10.3
﻿2021/10/16 22:40:54,35.15,25.23,9,2.3,21.2 χμ ΝΝΑ του Ηρακλείου,1.9
﻿2021/10/16 22:05:40,35.19,25.32,5,1.2,22.8 χμ ΝΑ του Ηρακλείου,7.2
﻿2021/10/16 21:48:29,35.13,25.24,9,2.2,23.6 χμ ΝΝΑ του Ηρακλείου,3.0
﻿2021/10/16 21:36:34,35.13,25.27,5,1.3,25.4 χμ ΝΝΑ του Ηρακλείου,3.9
﻿2021/10/16 21:31:13,35.13,25.26,10,2.0,24.4 χμ ΝΝΑ του Ηρακλείου,2.9
﻿2021/10/16 21:25:47,35.13,25.23,9,2.0,23.3 χμ ΝΝΑ του Ηρακλείου,3.6
﻿2021/10/16 19:37:29,35.12,25.23,30,1.8,25.1 χμ ΝΝΑ του Ηρακλείου,4.9
﻿2021/10/16 19:36:10,35.14,25.24,10,1.4,23.2 χμ ΝΝΑ του Ηρακλείου,2.2
﻿2021/10/16 19:14:30,35.17,25.31,12,1.9,23.8 χμ ΝΑ του Ηρακλείου,6.2
﻿2021/10/16 19:03:13,35.20,25.30,8,1.0,20.6 χμ ΝΑ του Ηρακλείου,6.4
﻿2021/10/16 18:53:31,35.21,25.28,11,1.8,18.6 χμ ΝΑ του Ηρακλείου,7.1
﻿2021/10/16 18:41:18,35.15,25.23,12,2.3,21.6 χμ ΝΝΑ του Ηρακλείου,2.4
﻿2021/10/16 17:37:30,35.17,25.25,12,1.3,20.1 χμ ΝΝΑ του Ηρακλείου,1.8
﻿2021/10/16 17:03:14,35.14,25.22,12,2.1,22.2 χμ ΝΝΑ του Ηρακλείου,3.0
﻿2021/10/16 16:23:42,35.13,25.22,6,1.9,23.4 χμ ΝΝΑ του Ηρακλείου,3.8
﻿2021/10/16 16:04:07,35.17,25.31,6,1.9,24.1 χμ ΝΑ του Ηρακλείου,5.9
﻿2021/10/16 16:03:28,35.22,25.31,8,1.9,19.7 χμ ΝΑ του Ηρακλείου,8.8
﻿2021/10/16 15:40:38,35.13,25.25,11,1.4,24.0 χμ ΝΝΑ του Ηρακλείου,2.6
﻿2021/10/16 14:41:16,35.15,25.19,12,2.2,20.5 χμ ΝΝΑ του Ηρακλείου,5.4
﻿2021/10/16 13:34:26,35.14,25.24,6,1.6,23.0 χμ ΝΝΑ του Ηρακλείου,2.5
﻿2021/10/16 13:32:59,35.18,25.26,10,2.1,19.3 χμ ΝΑ του Ηρακλείου,3.1
﻿2021/10/16 13:10:56,35.16,25.25,11,1.5,21.3 χμ ΝΝΑ του Ηρακλείου,0.2
